Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
162,1,STEP,353569262463839,353569263474076,1010237,-1
163,1,STEP,353569263496060,353569264515396,1019336,-1
164,1,STEP,353569264536916,353569265555262,1018346,-1
165,1,STEP,353569265574594,353569266530162,955568,-1
166,1,STEP,353569266552552,353569267559452,1006900,-1
167,1,STEP,353569267582180,353569268531483,949303,-1
168,1,STEP,353569268553451,353569269523202,969751,-1
169,1,STEP,353569269543465,353569270517941,974476,-1
170,1,STEP,353569270541250,353569271241427,700177,-1
171,1,STEP,353569271263265,353569272265677,1002412,-1
172,1,STEP,353569272288849,353569273315617,1026768,-1
173,1,STEP,353569273338673,353569274401254,1062581,-1
174,1,STEP,353569274419685,353569275419611,999926,-1
175,1,STEP,353569275442168,353569276455097,1012929,-1
176,1,STEP,353569276476390,353569277552838,1076448,-1
177,1,STEP,353569277575591,353569278517203,941612,-1
178,1,STEP,353569278538476,353569279525329,986853,-1
179,1,STEP,353569279548318,353569280246244,697926,-1
180,1,STEP,353569280267908,353569281169708,901800,-1
181,1,STEP,353569281191075,353569282137523,946448,-1
182,1,STEP,353569282158779,353569283231018,1072239,-1
183,1,STEP,353569283253654,353569283871891,618237,-1
184,1,STEP,353569283892942,353569284962396,1069454,-1
185,1,STEP,353569284985564,353569285643677,658113,-1
186,1,STEP,353569285666232,353569286697915,1031683,-1
187,1,STEP,353569286719847,353569287738103,1018256,-1
188,1,STEP,353569287760863,353569288387503,626640,-1
189,1,STEP,353569288409139,353569289436569,1027430,-1
190,1,STEP,353569289461939,353569290433042,971103,-1
191,1,STEP,353569290454644,353569291265743,811099,-1
192,1,STEP,353569291287524,353569293738416,2450892,-1
193,1,STEP,353569293762910,353569294365165,602255,-1
194,1,STEP,353569294621962,353569295255940,633978,-1
195,1,STEP,353569295553564,353569296164634,611070,-1
196,1,STEP,353569296474908,353569297039412,564504,-1
197,1,STEP,353569297405933,353569298036327,630394,-1
198,1,STEP,353569298343553,353569298949425,605872,-1
199,1,STEP,353569298971902,353569299892428,920526,-1
200,1,STEP,353569299914764,353569300989601,1074837,-1
201,1,STEP,353569301012215,353569302015705,1003490,-1
202,1,STEP,353569302037960,353569302968184,930224,-1
203,1,STEP,353569302991583,353569304003807,1012224,-1
204,1,STEP,353569304027501,353569305013084,985583,-1
205,1,STEP,353569305034900,353569306059196,1024296,-1
206,1,STEP,353569306082491,353569307070927,988436,-1
207,1,STEP,353569307093627,353569308083831,990204,-1
208,1,STEP,353569308107440,353569309099829,992389,-1
209,1,STEP,353569309121621,353569310122187,1000566,-1
210,1,STEP,353569310144857,353569311116818,971961,-1
211,1,STEP,353569311140660,353569312179496,1038836,-1
212,1,STEP,353569312202042,353569313250357,1048315,-1
213,1,STEP,353569313272551,353569314267758,995207,-1
214,1,STEP,353569314291231,353569315317666,1026435,-1
215,1,STEP,353569315338929,353569316349053,1010124,-1
216,1,STEP,353569316374302,353569317366947,992645,-1
217,1,STEP,353569317389561,353569318434619,1045058,-1
218,1,STEP,353569318458411,353569319471364,1012953,-1
219,1,STEP,353569319494122,353569320558717,1064595,-1
220,1,STEP,353569320581358,353569321060594,479236,-1
221,1,STEP,353569321083466,353569321717669,634203,-1
222,1,STEP,353569321740821,353569322739934,999113,-1
223,1,STEP,353569322763440,353569323717431,953991,-1
224,1,STEP,353569323740008,353569324766993,1026985,-1
225,1,STEP,353569324789211,353569325838061,1048850,-1
226,1,STEP,353569325860922,353569326888739,1027817,-1
227,1,STEP,353569326911784,353569327571850,660066,-1
228,1,STEP,353569327596469,353569328630077,1033608,-1
229,1,STEP,353569328653235,353569329335280,682045,-1
230,1,STEP,353569329358604,353569330390859,1032255,-1
231,1,STEP,353569330416704,353569331474692,1057988,-1
232,1,STEP,353569331496961,353569332438222,941261,-1
233,1,STEP,353569332461624,353569333388811,927187,-1
234,1,STEP,353569333411813,353569334381374,969561,-1
235,1,STEP,353569334404025,353569335389896,985871,-1
236,1,STEP,353569335413206,353569336370362,957156,-1
237,1,STEP,353569336392887,353569337395724,1002837,-1
238,1,STEP,353569337418543,353569338349084,930541,-1
239,1,STEP,353569338370715,353569339324775,954060,-1
240,1,STEP,353569339348084,353569340069055,720971,-1
241,1,STEP,353569340250986,353569340945401,694415,-1
242,1,STEP,353569340968230,353569341850862,882632,-1
243,1,STEP,353569341873569,353569342868472,994903,-1
244,1,STEP,353569342894037,353569343555949,661912,-1
245,1,STEP,353569343579616,353569344546731,967115,-1
246,1,STEP,353569344570274,353569345156107,585833,-1
247,1,STEP,353569345498300,353569346150823,652523,-1
248,1,STEP,353569346400911,353569347140202,739291,-1
249,1,STEP,353569347349809,353569347963637,613828,-1
250,1,STEP,353569347985456,353569348819181,833725,-1
251,1,STEP,353569348842490,353569349791428,948938,-1
252,1,STEP,353569349815294,353569350871172,1055878,-1
253,1,STEP,353569350893806,353569351918903,1025097,-1
254,1,STEP,353569351941165,353569352837740,896575,-1
255,1,STEP,353569352860642,353569353798210,937568,-1
256,1,STEP,353569353820995,353569354806587,985592,-1
257,1,STEP,353569354836389,353569355521230,684841,-1
258,1,STEP,353569355544339,353569356456059,911720,-1
259,1,STEP,353569356478125,353569357449583,971458,-1
260,1,STEP,353569357472951,353569358473046,1000095,-1
261,1,STEP,353569358495702,353569359419247,923545,-1
262,1,STEP,353569359441746,353569360392924,951178,-1
263,1,STEP,353569360416489,353569361419849,1003360,-1
264,1,STEP,353569361447091,353569362480293,1033202,-1
265,1,STEP,353569362503457,353569363571010,1067553,-1
266,1,STEP,353569363593509,353569364558751,965242,-1
267,1,STEP,353569364581536,353569365635358,1053822,-1
268,1,STEP,353569365657370,353569366674436,1017066,-1
269,1,STEP,353569366696892,353569367699628,1002736,-1
270,1,STEP,353569367722260,353569368808014,1085754,-1
271,1,STEP,353569368830664,353569369923671,1093007,-1
272,1,STEP,353569369946569,353569370996064,1049495,-1
273,1,STEP,353569371018148,353569372084902,1066754,-1
274,1,STEP,353569372107748,353569373188804,1081056,-1
275,1,STEP,353569373211607,353569374302738,1091131,-1
276,1,STEP,353569374324787,353569375387264,1062477,-1
277,1,STEP,353569375408942,353569376481779,1072837,-1
278,1,STEP,353569376504310,353569377572283,1067973,-1
279,1,STEP,353569377595228,353569378733133,1137905,-1
280,1,STEP,353569378755060,353569379850057,1094997,-1
281,1,STEP,353569379873214,353569380924287,1051073,-1
282,1,STEP,353569380947201,353569382058306,1111105,-1
283,1,STEP,353569382080723,353569383142452,1061729,-1
284,1,STEP,353569383164864,353569384167189,1002325,-1
285,1,STEP,353569384189728,353569385218482,1028754,-1
286,1,STEP,353569385240938,353569386160623,919685,-1
287,1,STEP,353569386183038,353569387154965,971927,-1
288,1,STEP,353569387176654,353569388167036,990382,-1
289,1,STEP,353569388190031,353569389185281,995250,-1
290,1,STEP,353569389208496,353569390232957,1024461,-1
291,1,STEP,353569390255551,353569391271146,1015595,-1
292,1,STEP,353569391293557,353569391940103,646546,-1
293,1,STEP,353569391962893,353569392966778,1003885,-1
294,1,STEP,353569392988903,353569393954240,965337,-1
295,1,STEP,353569393980016,353569394631392,651376,-1
296,1,STEP,353569395041318,353569395786819,745501,-1
297,1,STEP,353569396036361,353569396696300,659939,-1
298,1,STEP,353569396720005,353569397796783,1076778,-1
299,1,STEP,353569397818725,353569398786074,967349,-1
300,1,STEP,353569398807957,353569399465427,657470,-1
301,1,STEP,353569399838127,353569400378011,539884,-1
302,1,STEP,353569400400692,353569401352894,952202,-1
303,1,STEP,353569401376419,353569402279849,903430,-1
304,1,STEP,353569402303347,353569403190026,886679,-1
305,1,STEP,353569403212023,353569404126241,914218,-1
306,1,STEP,353569404149709,353569404750578,600869,-1
307,1,STEP,353569405038205,353569405638737,600532,-1
308,1,STEP,353569405984704,353569406530381,545677,-1
309,1,STEP,353569406899587,353569407478771,579184,-1
310,1,STEP,353569407715913,353569408338801,622888,-1
311,1,STEP,353569408602011,353569409326117,724106,-1
312,1,STEP,353569409518793,353569410174902,656109,-1
313,1,STEP,353569410392826,353569411105077,712251,-1
314,1,STEP,353569411276005,353569412106647,830642,-1
315,1,STEP,353569412189337,353569412877445,688108,-1
316,1,STEP,353569413057154,353569413645866,588712,-1
317,1,STEP,353569413881771,353569414553718,671947,-1
318,1,STEP,353569414782809,353569415461398,678589,-1
319,1,STEP,353569415483497,353569416485271,1001774,-1
320,1,STEP,353569416507854,353569417513812,1005958,-1
321,1,STEP,353569417537605,353569418438226,900621,-1
322,1,STEP,353569418460550,353569419438268,977718,-1
323,1,STEP,353569419460867,353569420355129,894262,-1
324,1,STEP,353569420377581,353569421323029,945448,-1
325,1,STEP,353569421345430,353569422370044,1024614,-1
326,1,STEP,353569422388928,353569423359826,970898,-1
327,1,STEP,353569423383702,353569424376896,993194,-1
328,1,STEP,353569424401421,353569425085244,683823,-1
