Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
104,1.08956e-66,0.1519,5000,0.902344,16.0947,0.902344,0,0.0585938,0.0585938
105,1.08956e-66,0.1519,5000,0.902344,16.0957,0.902344,0,0.0351562,0.0351562
106,1.09753e-66,0.151891,5000,0.916992,16.0801,0.916992,0,0.0361328,0.0361328
107,1.08744e-66,0.151903,5000,0.898438,16.0898,0.898438,0,0.0517578,0.0517578
108,1.07735e-66,0.151915,5000,0.879883,16.1094,0.879883,0,0.0625,0.0625
109,1.07097e-66,0.151922,5000,0.868164,16.1279,0.868164,0,0.0488281,0.0488281
110,1.08213e-66,0.151909,5000,0.888672,16.1074,0.888672,0,0.0410156,0.0410156
111,1.07682e-66,0.151915,5000,0.878906,16.1162,0.878906,0,0.0693359,0.0693359
112,1.07947e-66,0.151912,5000,0.883789,16.1094,0.883789,0,0.0517578,0.0517578
113,1.07788e-66,0.151914,5000,0.880859,16.1172,0.880859,0,0.0576172,0.0576172
114,1.09116e-66,0.151898,5000,0.905273,16.0928,0.905273,0,0.0341797,0.0341797
115,1.09009e-66,0.1519,5000,0.90332,16.0928,0.90332,0,0.0537109,0.0537109
116,1.08903e-66,0.151901,5000,0.901367,16.1045,0.901367,0,0.0507812,0.0507812
117,1.0885e-66,0.151902,5000,0.900391,16.0986,0.900391,0,0.0507812,0.0507812
118,1.08048e-66,0.151919,5000,0.887695,16.1143,0.887695,0,0.0605469,0.0605469
119,1.07522e-66,0.151917,5000,0.875977,16.1191,0.875977,0,0.0595703,0.0595703
120,1.0715e-66,0.151922,5000,0.869141,16.125,0.869141,0,0.0556641,0.0556641
121,1.07894e-66,0.151913,5000,0.882812,16.1182,0.882812,0,0.0527344,0.0527344
122,1.09116e-66,0.151898,5000,0.905273,16.0947,0.905273,0,0.0400391,0.0400391
123,1.08319e-66,0.151908,5000,0.890625,16.1074,0.890625,0,0.0507812,0.0507812
