Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
144,1.14268e-66,0.151837,5000,1,16,1,0,0,0
145,1.14268e-66,0.151837,5000,1,16,1,0,0,0
146,1.14268e-66,0.151837,5000,1,16,1,0,0,0
147,1.14268e-66,0.151837,5000,1,16,1,0,0,0
148,1.14268e-66,0.151837,5000,1,16,1,0,0,0
149,1.14268e-66,0.151837,5000,1,16,1,0,0,0
150,1.14268e-66,0.151837,5000,1,16,1,0,0,0
151,1.14268e-66,0.151837,5000,1,16,1,0,0,0
152,1.14268e-66,0.151837,5000,1,16,1,0,0,0
153,1.14268e-66,0.151837,5000,1,16,1,0,0,0
154,1.14268e-66,0.151837,5000,1,16,1,0,0,0
155,1.14268e-66,0.151837,5000,1,16,1,0,0,0
156,1.14268e-66,0.151837,5000,1,16,1,0,0,0
157,1.14268e-66,0.151837,5000,1,16,1,0,0,0
158,1.14268e-66,0.151837,5000,1,16,1,0,0,0
159,1.14268e-66,0.151837,5000,1,16,1,0,0,0
160,1.14268e-66,0.151837,5000,1,16,1,0,0,0
161,1.14268e-66,0.151837,5000,1,16,1,0,0,0
162,1.14268e-66,0.151837,5000,1,16,1,0,0,0
163,1.14268e-66,0.151837,5000,1,16,1,0,0,0
164,1.14268e-66,0.151837,5000,1,16,1,0,0,0
165,1.14268e-66,0.151837,5000,1,16,1,0,0,0
166,1.14268e-66,0.151837,5000,1,16,1,0,0,0
167,1.14268e-66,0.151837,5000,1,16,1,0,0,0
168,1.14268e-66,0.151837,5000,1,16,1,0,0,0
169,1.14268e-66,0.151837,5000,1,16,1,0,0,0
170,1.14268e-66,0.151837,5000,1,16,1,0,0,0
171,1.14268e-66,0.151837,5000,1,16,1,0,0,0
172,1.14268e-66,0.151837,5000,1,16,1,0,0,0
173,1.14268e-66,0.151837,5000,1,16,1,0,0,0
174,1.14268e-66,0.151837,5000,1,16,1,0,0,0
175,1.14268e-66,0.151837,5000,1,16,1,0,0,0
176,1.14268e-66,0.151837,5000,1,16,1,0,0,0
177,1.14268e-66,0.151837,5000,1,16,1,0,0,0
178,1.14268e-66,0.151837,5000,1,16,1,0,0,0
179,1.14268e-66,0.151837,5000,1,16,1,0,0,0
180,1.14268e-66,0.151837,5000,1,16,1,0,0,0
181,1.14268e-66,0.151837,5000,1,16,1,0,0,0
182,1.14268e-66,0.151837,5000,1,16,1,0,0,0
183,1.14268e-66,0.151837,5000,1,16,1,0,0,0
184,1.14268e-66,0.151837,5000,1,16,1,0,0,0
185,1.14268e-66,0.151837,5000,1,16,1,0,0,0
186,1.14268e-66,0.151837,5000,1,16,1,0,0,0
187,1.14268e-66,0.151837,5000,1,16,1,0,0,0
188,1.14268e-66,0.151837,5000,1,16,1,0,0,0
189,1.14268e-66,0.151837,5000,1,16,1,0,0,0
190,1.14268e-66,0.151837,5000,1,16,1,0,0,0
191,1.14268e-66,0.151837,5000,1,16,1,0,0,0
192,1.14268e-66,0.151837,5000,1,16,1,0,0,0
193,1.14268e-66,0.151837,5000,1,16,1,0,0,0
194,1.14268e-66,0.151837,5000,1,16,1,0,0,0
195,1.14268e-66,0.151837,5000,1,16,1,0,0,0
196,1.14268e-66,0.151837,5000,1,16,1,0,0,0
197,1.14268e-66,0.151837,5000,1,16,1,0,0,0
198,1.14268e-66,0.151837,5000,1,16,1,0,0,0
199,1.14268e-66,0.151837,5000,1,16,1,0,0,0
200,1.14268e-66,0.151837,5000,1,16,1,0,0,0
201,1.14268e-66,0.151837,5000,1,16,1,0,0,0
202,1.14268e-66,0.151837,5000,1,16,1,0,0,0
203,1.14268e-66,0.151837,5000,1,16,1,0,0,0
204,1.14268e-66,0.151837,5000,1,16,1,0,0,0
205,1.14268e-66,0.151837,5000,1,16,1,0,0,0
206,1.14268e-66,0.151837,5000,1,16,1,0,0,0
207,1.14268e-66,0.151837,5000,1,16,1,0,0,0
208,1.14268e-66,0.151837,5000,1,16,1,0,0,0
209,1.14268e-66,0.151837,5000,1,16,1,0,0,0
210,1.14268e-66,0.151837,5000,1,16,1,0,0,0
211,1.14268e-66,0.151837,5000,1,16,1,0,0,0
212,1.14268e-66,0.151837,5000,1,16,1,0,0,0
213,1.14268e-66,0.151837,5000,1,16,1,0,0,0
214,1.14268e-66,0.151837,5000,1,16,1,0,0,0
215,1.14268e-66,0.151837,5000,1,16,1,0,0,0
216,1.14268e-66,0.151837,5000,1,16,1,0,0,0
217,1.14268e-66,0.151837,5000,1,16,1,0,0,0
218,1.14268e-66,0.151837,5000,1,16,1,0,0,0
219,1.14268e-66,0.151837,5000,1,16,1,0,0,0
220,1.14268e-66,0.151837,5000,1,16,1,0,0,0
221,1.14268e-66,0.151837,5000,1,16,1,0,0,0
222,1.14268e-66,0.151837,5000,1,16,1,0,0,0
223,1.14268e-66,0.151837,5000,1,16,1,0,0,0
224,1.14268e-66,0.151837,5000,1,16,1,0,0,0
225,1.14268e-66,0.151837,5000,1,16,1,0,0,0
226,1.14268e-66,0.151837,5000,1,16,1,0,0,0
227,1.14268e-66,0.151837,5000,1,16,1,0,0,0
228,1.14268e-66,0.151837,5000,1,16,1,0,0,0
229,1.14268e-66,0.151837,5000,1,16,1,0,0,0
230,1.14268e-66,0.151837,5000,1,16,1,0,0,0
